ChEMBL ID,Name,UniProt Accessions,Type,Organism,Compounds,Activities,Tax ID,Species Group Flag
CHEMBL614835,SJSA,,CELL-LINE,Homo sapiens,,,9606,FALSE
CHEMBL2364037,N-acetylmuramic acid,,SMALL MOLECULE,Bacteria,,,2,TRUE
CHEMBL3580484,Interleukin-12 subunit beta,P29460,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL3430866,Cytochrome P450 3A9,P51538,SINGLE PROTEIN,Rattus norvegicus,,,10116,FALSE
CHEMBL3430874,Beta-ureidopropionase,Q9UBR1,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL2364038,N-acetylglucosamine,,SMALL MOLECULE,Bacteria,,,2,TRUE
CHEMBL2364151,Thioredoxin reductase,Q6A5E8,SINGLE PROTEIN,Propionibacterium acnes,,,1747,FALSE
CHEMBL2364152,Thioredoxin reductase,Q8CPY8,SINGLE PROTEIN,Staphylococcus epidermidis,,,1282,FALSE
CHEMBL3542437,Putative cytochrome P450 2D7,A0A087X1C5,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL3542438,Uridine-cytidine kinase,Q9BZX2|Q9HA47,PROTEIN FAMILY,Homo sapiens,,,9606,FALSE
CHEMBL3430867,UDP-galactose translocator,P78381,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL3430873,"N-alpha-acetyltransferase 16, NatA auxiliary subunit",Q6N069,SINGLE PROTEIN,Homo sapiens,,,9606,FALSE
CHEMBL3542433,Phenol sulfotransferase,P50225|P50226|P0DMM9,PROTEIN FAMILY,Homo sapiens,,,9606,FALSE
CHEMBL614169,MM6,,CELL-LINE,Homo sapiens,,,9606,FALSE
CHEMBL614043,768-0,,CELL-LINE,Homo sapiens,,,9606,FALSE
CHEMBL2363072,Retinoid X receptor gamma/retinoic acid receptor alpha,P48443|P10276,PROTEIN COMPLEX,Homo sapiens,,,9606,FALSE
CHEMBL2096987,Geranylgeranyl transferase type I,P29702|Q5EAD5,PROTEIN COMPLEX,Bos taurus,218,226,9913,FALSE
CHEMBL5215,"Solute carrier family 2, facilitated glucose transporter member 3",P11169,SINGLE PROTEIN,Homo sapiens,460,465,9606,FALSE
CHEMBL4888,Dihydrofolate reductase,Q8Z9J9,SINGLE PROTEIN,Salmonella enterica subsp. enterica serovar Typhi,58,59,90370,FALSE
CHEMBL3885612,Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Q15750|P49116,CHIMERIC PROTEIN,Homo sapiens,49,49,9606,FALSE
CHEMBL366,Candida albicans,,ORGANISM,Candida albicans,40790,81741,5476,FALSE
CHEMBL4888453,Probable G-protein coupled receptor 139,P0C0W8,SINGLE PROTEIN,Rattus norvegicus,170,350,10116,FALSE
CHEMBL4523203,Oxysterol-binding protein 1,P22059,SINGLE PROTEIN,Homo sapiens,54,77,9606,FALSE
CHEMBL4879422,Zinc finger and BTB domain-containing protein 7A,O88939,SINGLE PROTEIN,Mus musculus,1,1,10090,FALSE
CHEMBL3879853,GH23382p,Q9VW75,SINGLE PROTEIN,Drosophila melanogaster,4,4,7227,FALSE
CHEMBL3309010,Cell division protein FtsA,P0ABH0,SINGLE PROTEIN,Escherichia coli (strain K12),1,3,83333,FALSE
CHEMBL5069369,Zinc finger and BTB domain-containing protein 43,O43298,SINGLE PROTEIN,Homo sapiens,1,6,9606,FALSE
CHEMBL3309030,tRNA threonylcarbamoyladenosine biosynthesis protein TsaE,P0AF67,SINGLE PROTEIN,Escherichia coli (strain K12),4,6,83333,FALSE
